"model","mean_cv_accuracy","sd_cv_accuracy","mean_cv_rmse","sd_cv_rmse"
"OLS",0.52635433231292,0.0148943100437679,0.730011160425424,0.00810284913090912
"Multinomial Logistic",0.534246550606973,0.0129218090420037,0.796308866375873,0.0145928215686223
"Ridge Logistic",0.531741359912763,0.013770098799961,0.804118329804994,0.0145877280394325
"Lasso Logistic",0.534436819822579,0.0134133294404505,0.793456563315341,0.0186065337454049
"Elastic Net Logistic",0.532512814960134,0.0111485979134195,0.799152324541267,0.0173427530919157
"KNN",0.537518006722168,0.00718052676410848,0.832414374789198,0.0169139961751077
"Random Forest (clf)",0.667369018528461,0.00747051172915906,0.670384168732089,0.0155761905789354
"Naive Bayes",0.445159462482845,0.0157643836200394,0.982096647545862,0.0412156454429184
"Ridge Regression",0.524437729608933,0.0134042632927651,0.732312007989718,0.00982043968895999
"Lasso Regression",0.525969531126867,0.0146901909860843,0.730023500010054,0.00832026521275668
"Random Forest (reg)",0.655066491287194,0.0112614078053765,0.623749470943848,0.0081533958717338
"OLS (by wine type)",0.535593444455407,0.0132876714820175,0.720137609504535,0.0088964859320241
"Multinomial Logistic (by wine type)",0.538287429699783,0.0150946427008829,0.791643012381514,0.018312849538276
"Ridge Logistic (by wine type)",0.539624882913059,0.0133645929568798,0.784293722042383,0.0200803432529085
"Lasso Logistic (by wine type)",0.53943627629998,0.0137094196851087,0.787037970187493,0.0172711063228921
"Elastic Net Logistic (by wine type)",0.538476032041565,0.0128027432469388,0.789681477953484,0.0194973364091127
"KNN (by wine type)",0.534048133891507,0.00960807479677013,0.829683533799174,0.0140182039875964
"Random Forest (clf) (by wine type)",0.666407108464046,0.00375051912380478,0.672558676432154,0.0140580819132958
"Naive Bayes (by wine type)",0.463434824699546,0.0153523922742304,0.937431607314481,0.00642051445975827
"Ridge Regression (by wine type)",0.534247659008657,0.0105268688030812,0.722572475502831,0.00873765113384538
"Lasso Regression (by wine type)",0.536942933117035,0.0133781562166466,0.719675708080313,0.00856911070210085
"Random Forest (reg) (by wine type)",0.655061304864282,0.0078994982435685,0.621226466534474,0.00868098192887323
