"model","train_accuracy","train_rmse"
"OLS",0.525009619084263,0.734700480787946
"Multinomial Logistic",0.540784917275875,0.802314850225198
"Ridge Logistic",0.534628703347441,0.81516031607307
"Lasso Logistic",0.541362062331666,0.801955094650623
"Elastic Net Logistic",0.540977298961139,0.800634607856912
"KNN",0.628703347441324,0.745642723032752
"Random Forest (clf)",1,0
"XGBoost (clf)",0.946710273181993,0.248891347087172
"Naive Bayes",0.456906502500962,0.966941048038047
"Ordinal Logistic",0.535975375144286,0.800033666086543
"Ridge Regression",0.524047710657945,0.736125941559661
"Lasso Regression",0.524432474028472,0.7347261830231
"Random Forest (reg)",0.932089265101962,0.266044839521
"XGBoost (reg)",0.867449018853405,0.347258663603891
"OLS (by wine type)",0.530203924586379,0.728873018194726
"Multinomial Logistic (by wine type)",0.550596383224317,0.789138463894742
"Ridge Logistic (by wine type)",0.543478260869565,0.801595177617916
"Lasso Logistic (by wine type)",0.552520200076953,0.792422753774947
"Elastic Net Logistic (by wine type)",0.552327818391689,0.79181557971156
"KNN (by wine type)",0.62581762216237,0.747703936980349
"Random Forest (clf) (by wine type)",1,0
"XGBoost (clf) (by wine type)",0.976914197768372,0.1646991731071
"Naive Bayes (by wine type)",0.475375144286264,0.929508552149285
"Ordinal Logistic (by wine type)",0.539245863793767,0.789869486250567
"Ridge Regression (by wine type)",0.531358214697961,0.730322563983588
"Lasso Regression (by wine type)",0.529819161215852,0.729353501262154
"Random Forest (reg) (by wine type)",0.928434013081955,0.26921740293064
"XGBoost (reg) (by wine type)",0.919584455559831,0.276189955375637
